Dataset,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,Prec@K_mean,Prec@K_std,Train_time_avg,Test_time_avg
MGTAB,0.29077846630334764,0.013774437543371553,0.52156063619265,0.019675631368321067,0.2810016601605105,0.015621907446986907,54.76951894760132,0.5945211887359619
Elliptic (Bitcoin),0.9968934906283188,0.00044167380048934686,0.9812089788963373,0.0011595817980070392,0.9850957536033125,0.0011232327026780584,31.079885292053223,0.06508760452270508
Amazon Reviews,0.5598838895578242,0.044894566706426484,0.9110723177224582,0.014297711492789954,0.538510299551183,0.021627229869429,214.1710346221924,0.9881008625030517
Yelp Reviews,0.6658775551907,0.022962397015104306,0.9131809398927441,0.005596366191501255,0.6249789521240767,0.01691017492157068,68.14498100280761,0.11064367294311524
