Dataset,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,Prec@K_mean,Prec@K_std,Train_time_avg,Test_time_avg
MGTAB,0.8259857058620458,0.022705071119895153,0.9354702058230575,0.006379034695879475,0.7727456380128833,0.02138380103586202,314.135525226593,1.3577004432678224
Elliptic (Bitcoin),0.9963648684709527,0.0013801376931009601,0.9830961932684978,0.0016376042906599741,0.986332860091918,0.0008428846748797626,19.95702886581421,0.05005898475646973
Amazon Reviews,0.8124882076888464,0.03532736853266723,0.9703668372743708,0.006122545541601556,0.7988525117724116,0.02851320657664561,80.74302787780762,0.41824960708618164
Yelp Reviews,0.5651369781972135,0.05394966671644665,0.8679357930656144,0.026538515396723406,0.5320907311425722,0.04311814466149508,18.22092561721802,0.0487309455871582
