Dataset,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,Prec@K_mean,Prec@K_std,Train_time_avg,Test_time_avg
MGTAB,0.3070413477695001,0.021740843617145855,0.5463353088713537,0.013064150742970355,0.2985302706923809,0.019581448420213195,62.027938508987425,0.444362735748291
Elliptic (Bitcoin),0.9939179924278638,0.0010860024370327793,0.9665048935421214,0.0026055554670289497,0.9810065452292351,0.0007627910770337547,16.388434171676636,0.04923710823059082
Amazon Reviews,0.5434569004783483,0.03153914388705861,0.9062505549834953,0.013714465486459595,0.5513564659332874,0.026253750710475792,240.9938524246216,0.6908671379089355
Yelp Reviews,0.5974226343261169,0.04917942670899436,0.8877617693024377,0.013780519682320053,0.5616366423441113,0.03980015971331866,24.314579820632936,0.066646146774292
